regret: -0.580	regret bound: 3.631	weights: (0.363, 0.363, 0.273)
regret: -0.298	regret bound: 5.135	weights: (0.356, 0.376, 0.268)
regret: -0.214	regret bound: 6.289	weights: (0.349, 0.389, 0.262)
regret: -0.175	regret bound: 7.262	weights: (0.366, 0.379, 0.255)
regret: -0.138	regret bound: 8.119	weights: (0.359, 0.371, 0.270)
regret: 0.205	regret bound: 8.894	weights: (0.547, 0.042, 0.411)
regret: 0.670	regret bound: 9.606	weights: (0.920, 0.070, 0.009)
regret: 0.581	regret bound: 10.270	weights: (0.923, 0.068, 0.009)
regret: 0.521	regret bound: 10.893	weights: (0.923, 0.068, 0.009)
regret: 0.470	regret bound: 11.482	weights: (0.925, 0.066, 0.009)
regret: 0.427	regret bound: 12.042	weights: (0.908, 0.084, 0.008)
regret: 0.392	regret bound: 12.578	weights: (0.910, 0.081, 0.008)
regret: 0.362	regret bound: 13.091	weights: (0.913, 0.079, 0.008)
regret: 0.336	regret bound: 13.586	weights: (0.916, 0.077, 0.008)
regret: 0.314	regret bound: 14.062	weights: (0.918, 0.074, 0.008)
regret: 0.295	regret bound: 14.524	weights: (0.900, 0.092, 0.007)
regret: 0.277	regret bound: 14.971	weights: (0.903, 0.090, 0.007)
regret: 0.262	regret bound: 15.405	weights: (0.906, 0.087, 0.007)
regret: 0.248	regret bound: 15.827	weights: (0.909, 0.085, 0.007)
regret: 0.236	regret bound: 16.238	weights: (0.911, 0.082, 0.007)
regret: 0.225	regret bound: 16.639	weights: (0.914, 0.080, 0.006)
regret: 0.215	regret bound: 17.030	weights: (0.916, 0.077, 0.006)
regret: 0.205	regret bound: 17.413	weights: (0.919, 0.075, 0.006)
regret: 0.197	regret bound: 17.788	weights: (0.921, 0.073, 0.006)
regret: 0.189	regret bound: 18.154	weights: (0.924, 0.071, 0.006)
regret: 0.181	regret bound: 18.514	weights: (0.926, 0.069, 0.005)
regret: 0.174	regret bound: 18.867	weights: (0.928, 0.067, 0.005)
regret: 0.167	regret bound: 19.213	weights: (0.930, 0.065, 0.005)
regret: 0.161	regret bound: 19.553	weights: (0.932, 0.063, 0.005)
regret: 0.155	regret bound: 19.887	weights: (0.934, 0.061, 0.005)
regret: 0.150	regret bound: 20.216	weights: (0.936, 0.059, 0.005)
regret: 0.146	regret bound: 20.539	weights: (0.938, 0.058, 0.005)
regret: 0.142	regret bound: 20.858	weights: (0.936, 0.057, 0.007)
regret: 0.138	regret bound: 21.172	weights: (0.938, 0.056, 0.006)
regret: 0.134	regret bound: 21.481	weights: (0.940, 0.054, 0.006)
regret: 0.130	regret bound: 21.785	weights: (0.937, 0.054, 0.009)
regret: 0.128	regret bound: 22.086	weights: (0.937, 0.054, 0.009)
regret: 0.125	regret bound: 22.382	weights: (0.939, 0.052, 0.009)
regret: 0.123	regret bound: 22.675	weights: (0.939, 0.052, 0.009)
regret: 0.120	regret bound: 22.964	weights: (0.941, 0.051, 0.008)
regret: 0.117	regret bound: 23.249	weights: (0.942, 0.049, 0.008)
regret: 0.114	regret bound: 23.531	weights: (0.944, 0.048, 0.008)
regret: 0.112	regret bound: 23.809	weights: (0.945, 0.047, 0.008)
regret: 0.109	regret bound: 24.085	weights: (0.947, 0.046, 0.008)
regret: 0.107	regret bound: 24.357	weights: (0.948, 0.044, 0.007)
regret: 0.105	regret bound: 24.626	weights: (0.950, 0.043, 0.007)
regret: 0.102	regret bound: 24.892	weights: (0.951, 0.042, 0.007)
regret: 0.100	regret bound: 25.156	weights: (0.953, 0.040, 0.007)
regret: 0.098	regret bound: 25.416	weights: (0.954, 0.039, 0.007)
regret: 0.096	regret bound: 25.674	weights: (0.956, 0.038, 0.006)
regret: 0.094	regret bound: 25.930	weights: (0.957, 0.037, 0.006)
regret: 0.093	regret bound: 26.183	weights: (0.958, 0.036, 0.006)
regret: 0.091	regret bound: 26.433	weights: (0.959, 0.035, 0.006)
regret: 0.089	regret bound: 26.681	weights: (0.946, 0.048, 0.006)
regret: 0.087	regret bound: 26.927	weights: (0.948, 0.047, 0.006)
regret: 0.086	regret bound: 27.171	weights: (0.949, 0.045, 0.005)
regret: 0.084	regret bound: 27.413	weights: (0.951, 0.044, 0.005)
regret: 0.082	regret bound: 27.652	weights: (0.936, 0.059, 0.005)
regret: 0.081	regret bound: 27.889	weights: (0.938, 0.057, 0.005)
regret: 0.079	regret bound: 28.125	weights: (0.940, 0.055, 0.005)
regret: 0.078	regret bound: 28.358	weights: (0.941, 0.054, 0.005)
regret: 0.076	regret bound: 28.590	weights: (0.943, 0.052, 0.005)
regret: 0.075	regret bound: 28.819	weights: (0.945, 0.051, 0.004)
regret: 0.074	regret bound: 29.047	weights: (0.946, 0.049, 0.004)
regret: 0.072	regret bound: 29.273	weights: (0.948, 0.048, 0.004)
regret: 0.071	regret bound: 29.497	weights: (0.949, 0.046, 0.004)
regret: 0.070	regret bound: 29.720	weights: (0.951, 0.045, 0.004)
regret: 0.068	regret bound: 29.941	weights: (0.952, 0.044, 0.004)
regret: 0.067	regret bound: 30.160	weights: (0.954, 0.043, 0.004)
regret: 0.066	regret bound: 30.378	weights: (0.955, 0.041, 0.004)
regret: 0.065	regret bound: 30.594	weights: (0.956, 0.040, 0.004)
regret: 0.064	regret bound: 30.809	weights: (0.958, 0.039, 0.003)
regret: 0.063	regret bound: 31.022	weights: (0.959, 0.038, 0.003)
regret: 0.063	regret bound: 31.234	weights: (0.960, 0.037, 0.003)
regret: 0.062	regret bound: 31.444	weights: (0.961, 0.036, 0.003)
regret: 0.061	regret bound: 31.653	weights: (0.960, 0.036, 0.005)
regret: 0.060	regret bound: 31.861	weights: (0.961, 0.035, 0.004)
regret: 0.059	regret bound: 32.067	weights: (0.948, 0.048, 0.004)
regret: 0.058	regret bound: 32.272	weights: (0.950, 0.046, 0.004)
regret: 0.058	regret bound: 32.476	weights: (0.951, 0.045, 0.004)
regret: 0.057	regret bound: 32.678	weights: (0.952, 0.044, 0.004)
regret: 0.056	regret bound: 32.879	weights: (0.954, 0.042, 0.004)
regret: 0.056	regret bound: 33.079	weights: (0.955, 0.041, 0.004)
regret: 0.055	regret bound: 33.278	weights: (0.956, 0.040, 0.004)
regret: 0.054	regret bound: 33.475	weights: (0.958, 0.039, 0.004)
regret: 0.054	regret bound: 33.671	weights: (0.959, 0.038, 0.003)
regret: 0.053	regret bound: 33.867	weights: (0.960, 0.037, 0.003)
regret: 0.052	regret bound: 34.061	weights: (0.961, 0.035, 0.003)
regret: 0.052	regret bound: 34.254	weights: (0.962, 0.034, 0.003)
regret: 0.051	regret bound: 34.446	weights: (0.964, 0.033, 0.003)
regret: 0.051	regret bound: 34.636	weights: (0.965, 0.032, 0.003)
regret: 0.050	regret bound: 34.826	weights: (0.966, 0.031, 0.003)
regret: 0.050	regret bound: 35.015	weights: (0.967, 0.031, 0.003)
regret: 0.049	regret bound: 35.203	weights: (0.968, 0.030, 0.003)
regret: 0.049	regret bound: 35.390	weights: (0.969, 0.029, 0.003)
regret: 0.048	regret bound: 35.575	weights: (0.969, 0.028, 0.003)
regret: 0.048	regret bound: 35.760	weights: (0.970, 0.027, 0.002)
regret: 0.047	regret bound: 35.944	weights: (0.971, 0.026, 0.002)
regret: 0.047	regret bound: 36.127	weights: (0.972, 0.026, 0.002)
