regret: 0.847	regret bound: 3.631	weights: (0.146, 0.406, 0.448)
regret: 2.173	regret bound: 5.135	weights: (0.251, 0.699, 0.050)
regret: 2.507	regret bound: 6.289	weights: (0.570, 0.316, 0.114)
regret: 1.895	regret bound: 7.262	weights: (0.578, 0.310, 0.112)
regret: 1.524	regret bound: 8.119	weights: (0.586, 0.304, 0.110)
regret: 1.274	regret bound: 8.894	weights: (0.593, 0.299, 0.108)
regret: 1.095	regret bound: 9.606	weights: (0.601, 0.293, 0.106)
regret: 1.111	regret bound: 10.270	weights: (0.765, 0.100, 0.135)
regret: 1.041	regret bound: 10.893	weights: (0.821, 0.034, 0.145)
regret: 0.938	regret bound: 11.482	weights: (0.824, 0.034, 0.142)
regret: 0.854	regret bound: 12.042	weights: (0.828, 0.033, 0.139)
regret: 0.783	regret bound: 12.578	weights: (0.831, 0.032, 0.137)
regret: 0.723	regret bound: 13.091	weights: (0.834, 0.032, 0.134)
regret: 0.672	regret bound: 13.586	weights: (0.837, 0.031, 0.132)
regret: 0.640	regret bound: 14.062	weights: (0.852, 0.014, 0.134)
regret: 0.601	regret bound: 14.524	weights: (0.848, 0.019, 0.133)
regret: 0.566	regret bound: 14.971	weights: (0.850, 0.019, 0.131)
regret: 0.534	regret bound: 15.405	weights: (0.853, 0.018, 0.128)
regret: 0.506	regret bound: 15.827	weights: (0.856, 0.018, 0.126)
regret: 0.480	regret bound: 16.238	weights: (0.859, 0.018, 0.124)
regret: 0.457	regret bound: 16.639	weights: (0.861, 0.017, 0.121)
regret: 0.437	regret bound: 17.030	weights: (0.864, 0.017, 0.119)
regret: 0.418	regret bound: 17.413	weights: (0.867, 0.017, 0.117)
regret: 0.400	regret bound: 17.788	weights: (0.869, 0.016, 0.115)
regret: 0.529	regret bound: 18.154	weights: (0.982, 0.018, 0.000)
regret: 0.509	regret bound: 18.514	weights: (0.976, 0.024, 0.000)
regret: 0.491	regret bound: 18.867	weights: (0.976, 0.023, 0.000)
regret: 0.473	regret bound: 19.213	weights: (0.977, 0.023, 0.000)
regret: 0.457	regret bound: 19.553	weights: (0.977, 0.023, 0.000)
regret: 0.442	regret bound: 19.887	weights: (0.978, 0.022, 0.000)
regret: 0.427	regret bound: 20.216	weights: (0.978, 0.022, 0.000)
regret: 0.414	regret bound: 20.539	weights: (0.979, 0.021, 0.000)
regret: 0.402	regret bound: 20.858	weights: (0.979, 0.021, 0.000)
regret: 0.390	regret bound: 21.172	weights: (0.979, 0.021, 0.000)
regret: 0.379	regret bound: 21.481	weights: (0.980, 0.020, 0.000)
regret: 0.368	regret bound: 21.785	weights: (0.980, 0.020, 0.000)
regret: 0.456	regret bound: 22.086	weights: (0.980, 0.020, 0.000)
regret: 0.443	regret bound: 22.382	weights: (0.981, 0.019, 0.000)
regret: 0.432	regret bound: 22.675	weights: (0.981, 0.019, 0.000)
regret: 0.421	regret bound: 22.964	weights: (0.981, 0.019, 0.000)
regret: 0.412	regret bound: 23.249	weights: (0.981, 0.019, 0.000)
regret: 0.402	regret bound: 23.531	weights: (0.982, 0.018, 0.000)
regret: 0.392	regret bound: 23.809	weights: (0.982, 0.018, 0.000)
regret: 0.383	regret bound: 24.085	weights: (0.977, 0.023, 0.000)
regret: 0.375	regret bound: 24.357	weights: (0.977, 0.023, 0.000)
regret: 0.367	regret bound: 24.626	weights: (0.977, 0.023, 0.000)
regret: 0.359	regret bound: 24.892	weights: (0.971, 0.029, 0.000)
regret: 0.351	regret bound: 25.156	weights: (0.972, 0.028, 0.000)
regret: 0.344	regret bound: 25.416	weights: (0.972, 0.028, 0.000)
regret: 0.337	regret bound: 25.674	weights: (0.973, 0.027, 0.000)
regret: 0.331	regret bound: 25.930	weights: (0.973, 0.027, 0.000)
regret: 0.324	regret bound: 26.183	weights: (0.974, 0.026, 0.000)
regret: 0.318	regret bound: 26.433	weights: (0.974, 0.026, 0.000)
regret: 0.312	regret bound: 26.681	weights: (0.975, 0.025, 0.000)
regret: 0.307	regret bound: 26.927	weights: (0.975, 0.025, 0.000)
regret: 0.301	regret bound: 27.171	weights: (0.976, 0.024, 0.000)
regret: 0.296	regret bound: 27.413	weights: (0.976, 0.024, 0.000)
regret: 0.307	regret bound: 27.652	weights: (1.000, 0.000, 0.000)
regret: 0.301	regret bound: 27.889	weights: (1.000, 0.000, 0.000)
regret: 0.296	regret bound: 28.125	weights: (1.000, 0.000, 0.000)
regret: 0.291	regret bound: 28.358	weights: (1.000, 0.000, 0.000)
regret: 0.286	regret bound: 28.590	weights: (1.000, 0.000, 0.000)
regret: 0.282	regret bound: 28.819	weights: (1.000, 0.000, 0.000)
regret: 0.277	regret bound: 29.047	weights: (1.000, 0.000, 0.000)
regret: 0.273	regret bound: 29.273	weights: (1.000, 0.000, 0.000)
regret: 0.269	regret bound: 29.497	weights: (1.000, 0.000, 0.000)
regret: 0.265	regret bound: 29.720	weights: (1.000, 0.000, 0.000)
regret: 0.261	regret bound: 29.941	weights: (1.000, 0.000, 0.000)
regret: 0.257	regret bound: 30.160	weights: (1.000, 0.000, 0.000)
regret: 0.253	regret bound: 30.378	weights: (1.000, 0.000, 0.000)
regret: 0.250	regret bound: 30.594	weights: (1.000, 0.000, 0.000)
regret: 0.247	regret bound: 30.809	weights: (1.000, 0.000, 0.000)
regret: 0.243	regret bound: 31.022	weights: (1.000, 0.000, 0.000)
regret: 0.240	regret bound: 31.234	weights: (1.000, 0.000, 0.000)
regret: 0.237	regret bound: 31.444	weights: (1.000, 0.000, 0.000)
regret: 0.234	regret bound: 31.653	weights: (1.000, 0.000, 0.000)
regret: 0.231	regret bound: 31.861	weights: (1.000, 0.000, 0.000)
regret: 0.228	regret bound: 32.067	weights: (1.000, 0.000, 0.000)
regret: 0.225	regret bound: 32.272	weights: (1.000, 0.000, 0.000)
regret: 0.222	regret bound: 32.476	weights: (1.000, 0.000, 0.000)
regret: 0.219	regret bound: 32.678	weights: (1.000, 0.000, 0.000)
regret: 0.217	regret bound: 32.879	weights: (1.000, 0.000, 0.000)
regret: 0.214	regret bound: 33.079	weights: (1.000, 0.000, 0.000)
