regret: -1.397	regret bound: 0.000	weights: (0.371, 0.371, 0.259)
regret: 0.423	regret bound: 3.631	weights: (0.217, 0.461, 0.322)
regret: 1.026	regret bound: 5.135	weights: (0.308, 0.656, 0.037)
regret: 0.712	regret bound: 6.289	weights: (0.308, 0.656, 0.037)
regret: 0.542	regret bound: 7.262	weights: (0.301, 0.663, 0.036)
regret: 0.446	regret bound: 8.119	weights: (0.301, 0.663, 0.036)
regret: 0.373	regret bound: 8.894	weights: (0.295, 0.670, 0.035)
regret: 0.342	regret bound: 9.606	weights: (0.311, 0.652, 0.037)
regret: 0.399	regret bound: 10.270	weights: (0.446, 0.502, 0.053)
regret: 0.524	regret bound: 10.893	weights: (0.737, 0.175, 0.088)
regret: 0.472	regret bound: 11.482	weights: (0.719, 0.195, 0.085)
regret: 0.430	regret bound: 12.042	weights: (0.727, 0.190, 0.083)
regret: 0.694	regret bound: 12.578	weights: (0.793, 0.207, 0.000)
regret: 0.641	regret bound: 13.091	weights: (0.799, 0.201, 0.000)
regret: 0.596	regret bound: 13.586	weights: (0.805, 0.195, 0.000)
regret: 0.797	regret bound: 14.062	weights: (0.805, 0.195, 0.000)
regret: 0.748	regret bound: 14.524	weights: (0.811, 0.189, 0.000)
regret: 0.704	regret bound: 14.971	weights: (0.790, 0.210, 0.000)
regret: 0.665	regret bound: 15.405	weights: (0.797, 0.203, 0.000)
regret: 0.633	regret bound: 15.827	weights: (0.797, 0.203, 0.000)
regret: 0.601	regret bound: 16.238	weights: (0.802, 0.198, 0.000)
regret: 0.574	regret bound: 16.639	weights: (0.802, 0.198, 0.000)
regret: 0.548	regret bound: 17.030	weights: (0.807, 0.193, 0.000)
regret: 0.525	regret bound: 17.413	weights: (0.811, 0.189, 0.000)
regret: 0.504	regret bound: 17.788	weights: (0.815, 0.185, 0.000)
regret: 0.628	regret bound: 18.154	weights: (0.815, 0.185, 0.000)
regret: 0.604	regret bound: 18.514	weights: (0.795, 0.205, 0.000)
regret: 0.582	regret bound: 18.867	weights: (0.775, 0.225, 0.000)
regret: 0.561	regret bound: 19.213	weights: (0.781, 0.219, 0.000)
regret: 0.542	regret bound: 19.553	weights: (0.761, 0.239, 0.000)
regret: 0.522	regret bound: 19.887	weights: (0.768, 0.232, 0.000)
regret: 0.505	regret bound: 20.216	weights: (0.775, 0.225, 0.000)
regret: 0.489	regret bound: 20.539	weights: (0.781, 0.219, 0.000)
regret: 0.475	regret bound: 20.858	weights: (0.788, 0.212, 0.000)
regret: 0.461	regret bound: 21.172	weights: (0.794, 0.206, 0.000)
regret: 0.448	regret bound: 21.481	weights: (0.798, 0.202, 0.000)
regret: 0.436	regret bound: 21.785	weights: (0.804, 0.196, 0.000)
regret: 0.424	regret bound: 22.086	weights: (0.810, 0.190, 0.000)
regret: 0.413	regret bound: 22.382	weights: (0.814, 0.186, 0.000)
regret: 0.403	regret bound: 22.675	weights: (0.818, 0.182, 0.000)
regret: 0.393	regret bound: 22.964	weights: (0.798, 0.202, 0.000)
regret: 0.383	regret bound: 23.249	weights: (0.778, 0.222, 0.000)
regret: 0.374	regret bound: 23.531	weights: (0.763, 0.237, 0.000)
regret: 0.364	regret bound: 23.809	weights: (0.770, 0.230, 0.000)
regret: 0.356	regret bound: 24.085	weights: (0.776, 0.224, 0.000)
regret: 0.347	regret bound: 24.357	weights: (0.757, 0.243, 0.000)
regret: 0.340	regret bound: 24.626	weights: (0.757, 0.243, 0.000)
regret: 0.333	regret bound: 24.892	weights: (0.737, 0.263, 0.000)
regret: 0.326	regret bound: 25.156	weights: (0.744, 0.256, 0.000)
regret: 0.319	regret bound: 25.416	weights: (0.752, 0.248, 0.000)
regret: 0.242	regret bound: 25.674	weights: (0.759, 0.241, 0.000)
regret: 0.166	regret bound: 25.930	weights: (0.766, 0.234, 0.000)
regret: 0.094	regret bound: 26.183	weights: (0.771, 0.229, 0.000)
regret: 0.024	regret bound: 26.433	weights: (0.778, 0.222, 0.000)
regret: -0.044	regret bound: 26.681	weights: (0.784, 0.216, 0.000)
regret: -0.109	regret bound: 26.927	weights: (0.790, 0.210, 0.000)
regret: -0.172	regret bound: 27.171	weights: (0.796, 0.204, 0.000)
regret: -0.233	regret bound: 27.413	weights: (0.802, 0.198, 0.000)
regret: -0.253	regret bound: 27.652	weights: (0.808, 0.192, 0.000)
