regret: 5.645	regret bound: 10.921	counts: (0.500, 0.500)
regret: 4.704	regret bound: 12.157	counts: (0.571, 0.429)
regret: 4.032	regret bound: 13.321	counts: (0.625, 0.375)
regret: 3.528	regret bound: 14.426	counts: (0.667, 0.333)
regret: 3.136	regret bound: 15.481	counts: (0.700, 0.300)
regret: 2.822	regret bound: 16.493	counts: (0.727, 0.273)
regret: 2.566	regret bound: 17.467	counts: (0.750, 0.250)
regret: 2.352	regret bound: 18.408	counts: (0.769, 0.231)
regret: 2.171	regret bound: 19.319	counts: (0.786, 0.214)
regret: 2.016	regret bound: 20.203	counts: (0.800, 0.200)
regret: 1.846	regret bound: 21.062	counts: (0.812, 0.188)
regret: 1.697	regret bound: 21.899	counts: (0.824, 0.176)
regret: 1.621	regret bound: 22.716	counts: (0.833, 0.167)
regret: 1.531	regret bound: 23.514	counts: (0.842, 0.158)
regret: 1.443	regret bound: 24.294	counts: (0.850, 0.150)
regret: 1.378	regret bound: 25.059	counts: (0.857, 0.143)
regret: 1.312	regret bound: 25.807	counts: (0.864, 0.136)
regret: 1.253	regret bound: 26.542	counts: (0.870, 0.130)
regret: 1.198	regret bound: 27.263	counts: (0.875, 0.125)
regret: 1.148	regret bound: 27.971	counts: (0.880, 0.120)
regret: 1.102	regret bound: 28.668	counts: (0.885, 0.115)
regret: 1.060	regret bound: 29.353	counts: (0.889, 0.111)
regret: 1.021	regret bound: 30.028	counts: (0.893, 0.107)
regret: 0.984	regret bound: 30.692	counts: (0.897, 0.103)
regret: 0.950	regret bound: 31.347	counts: (0.900, 0.100)
regret: 0.919	regret bound: 31.993	counts: (0.903, 0.097)
regret: 0.889	regret bound: 32.629	counts: (0.906, 0.094)
regret: 0.861	regret bound: 33.258	counts: (0.909, 0.091)
regret: 0.835	regret bound: 33.878	counts: (0.912, 0.088)
regret: 0.810	regret bound: 34.490	counts: (0.914, 0.086)
regret: 0.787	regret bound: 35.095	counts: (0.917, 0.083)
regret: 0.765	regret bound: 35.693	counts: (0.919, 0.081)
regret: 0.745	regret bound: 36.284	counts: (0.921, 0.079)
regret: 0.725	regret bound: 36.869	counts: (0.923, 0.077)
regret: 0.707	regret bound: 37.447	counts: (0.925, 0.075)
regret: 0.689	regret bound: 38.018	counts: (0.927, 0.073)
regret: 0.672	regret bound: 38.584	counts: (0.929, 0.071)
regret: 0.656	regret bound: 39.145	counts: (0.930, 0.070)
regret: 0.641	regret bound: 39.699	counts: (0.932, 0.068)
regret: 0.626	regret bound: 40.248	counts: (0.933, 0.067)
regret: 0.612	regret bound: 40.792	counts: (0.935, 0.065)
regret: 0.599	regret bound: 41.331	counts: (0.936, 0.064)
regret: 0.586	regret bound: 41.865	counts: (0.938, 0.062)
regret: 0.574	regret bound: 42.395	counts: (0.939, 0.061)
